Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	588
Pass #: 	8033
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
214	1	5	6	27	11.47	210.58	275.28	1016.15	410.38	
215	1	1	6	28	71.69	210.09	273.50	22.60	403.22	
216	1	5	6	29	0.02	161.60	270.58	1016.03	402.48	
217	1	5	6	30	0.02	164.36	270.42	1016.04	401.92	
218	1	1	6	31	67.57	211.39	275.28	20.71	402.38	
219	1	1	6	32	69.05	211.06	274.63	21.26	401.66	
220	1	1	6	33	69.57	211.22	274.80	21.35	401.18	
221	1	1	6	34	69.06	211.39	274.80	21.76	400.41	
222	1	1	6	35	68.65	212.36	274.96	21.87	400.06	
223	1	1	6	36	67.15	211.39	274.80	28.12	399.86	
224	1	1	6	37	68.29	211.71	275.12	22.03	399.36	
225	1	1	6	38	68.18	212.68	274.63	22.17	398.90	
226	1	1	6	39	67.94	211.87	274.47	22.31	398.84	
227	1	1	6	40	67.74	211.39	275.28	22.39	398.87	
228	1	1	6	41	67.55	211.55	275.61	22.35	398.56	
229	1	1	6	42	67.39	211.55	274.96	22.61	398.58	
230	1	1	6	43	67.21	211.55	274.96	22.67	398.11	
231	1	1	6	44	67.02	211.87	274.96	22.84	397.95	
232	1	1	6	45	66.92	212.20	275.12	22.71	398.32	
233	1	1	6	46	66.77	211.71	275.28	22.92	398.45	
234	1	1	6	47	66.61	212.04	275.12	22.96	398.17	
235	1	1	6	48	66.49	212.04	274.80	23.10	397.93	
236	1	1	6	49	61.36	211.55	274.63	57.80	397.93	
237	1	1	6	50	65.26	211.55	275.12	24.37	397.80	
238	1	1	6	51	57.99	212.04	275.61	87.12	398.19	
239	1	1	6	52	66.01	212.04	275.28	23.64	398.37	
240	1	8	6	53	58.49	211.71	275.12	102.40	398.16	
241	1	1	6	54	65.78	212.36	274.63	23.66	397.82	
242	1	1	6	55	65.68	212.20	274.47	23.84	397.72	
243	1	1	6	56	65.63	211.39	275.45	23.91	397.93	
244	1	1	6	57	64.45	211.55	274.15	31.71	397.72	
245	1	1	6	58	65.45	211.87	274.96	24.13	398.30	
246	1	1	6	59	65.46	211.55	274.96	24.04	398.45	
247	1	1	6	60	65.46	212.36	274.96	24.08	398.71	
248	1	1	6	61	65.49	212.52	275.45	24.12	398.97	
249	1	1	6	62	65.56	212.52	274.80	23.94	398.84	
250	1	1	6	63	65.68	211.39	274.80	23.79	398.42	
251	1	1	6	64	65.80	211.71	275.45	23.71	397.62	
252	1	1	6	65	65.93	211.87	274.63	23.58	397.78	
253	1	1	6	66	66.02	212.68	274.63	23.38	397.74	
254	1	1	6	67	66.15	212.20	274.31	23.24	398.25	
255	1	1	6	68	66.24	211.87	275.61	23.08	398.19	
256	1	1	6	69	66.35	211.71	275.12	23.03	398.76	
257	1	1	6	70	66.40	212.04	274.63	22.99	398.84	
258	1	1	6	71	66.40	212.04	275.77	22.97	398.34	
259	1	1	6	72	66.40	212.20	275.12	23.05	398.17	
260	1	1	6	73	66.35	212.04	274.80	23.19	397.90	
261	1	1	6	74	66.33	212.36	274.96	23.26	398.27	
262	1	1	6	75	66.25	212.04	274.31	23.27	399.12	
263	1	1	6	76	66.12	211.71	275.45	23.52	400.14	
264	1	1	6	77	65.96	211.55	275.12	23.66	401.60	
265	1	1	6	78	65.96	211.22	275.12	23.91	402.85	
266	1	5	7	25	8.58	211.71	278.53	1016.19	419.68	
267	1	1	7	26	71.93	208.47	272.20	24.09	403.22	
268	1	1	7	27	72.64	212.52	274.80	20.28	403.43	
269	1	1	7	28	68.29	212.04	274.80	20.63	402.77	
270	1	8	7	29	46.47	211.22	275.12	639.14	402.04	
271	1	1	7	30	61.39	211.87	275.45	21.58	401.65	
272	1	1	7	31	69.74	211.06	276.09	21.37	401.31	
273	1	1	7	32	69.06	211.22	274.47	21.63	400.38	
274	1	1	7	33	68.60	211.22	274.47	21.97	399.73	
275	1	1	7	34	68.34	211.22	274.47	22.06	399.13	
276	1	1	7	35	68.14	212.20	274.47	22.17	399.28	
277	1	1	7	36	68.05	212.04	275.61	22.23	399.76	
278	1	1	7	37	67.91	211.39	275.12	22.38	399.62	
279	1	1	7	38	67.80	211.87	274.80	22.35	399.13	
